elapsed_s,connected,reconnects,last_frame_age_s,capture_fps,detection_fps,degraded,workers,det_frames,det_exceptions,det_avg_latency,rec_identified,rec_exceptions
619.1,True,0,0.007,14.96,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",5225,0,0.0356,0,0
641.1,True,0,0.037,15.26,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",5405,0,0.0327,0,0
663.2,True,0,0.012,14.92,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",5548,0,0.0411,0,0
685.2,True,0,0.07,15.32,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",5731,0,0.0417,0,0
707.2,True,0,0.061,15.14,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",5908,0,0.0449,0,0
729.2,True,0,0.021,15.5,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",6088,0,0.0467,0,0
751.3,True,0,0.013,15.04,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",6268,0,0.0439,0,0
773.3,True,0,0.026,14.83,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",6453,0,0.0488,0,0
795.4,True,0,0.01,14.85,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",6635,0,0.0442,0,0
817.4,True,0,0.065,15.14,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",6815,0,0.0458,0,0
839.4,True,0,0.045,14.85,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",6997,0,0.0451,0,0
861.5,True,0,0.064,15.19,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",7182,0,0.0447,0,0
883.6,True,0,0.012,14.8,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",7363,0,0.0462,0,0
905.6,True,0,0.02,15.03,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",7545,0,0.0487,0,0
927.6,True,0,0.049,15.09,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",7726,0,0.0466,0,0
949.7,True,0,0.028,14.78,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",7906,0,0.0441,0,0
971.7,True,0,0.015,15.32,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",8089,0,0.0446,0,0
993.7,True,0,0.03,15.25,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",8271,0,0.0484,0,0
1015.8,True,0,0.03,15.08,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",8451,0,0.0472,0,0
1037.8,True,0,0.075,15.21,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",8631,0,0.0438,0,0
1059.9,True,0,0.051,15.34,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",8812,0,0.0438,0,0
1081.9,True,0,0.01,15.11,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",8993,0,0.0457,0,0
1103.9,True,0,0.013,15.06,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",9174,0,0.0411,0,0
1126.0,True,0,0.047,15.01,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",9359,0,0.0415,0,0
1148.0,True,0,0.013,15.2,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",9541,0,0.0479,0,0
1170.0,True,0,0.077,14.79,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",9727,0,0.0497,0,0
1192.1,True,0,0.046,14.75,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",9909,0,0.0472,0,0
1214.1,True,0,0.043,15.24,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",10093,0,0.0426,0,0
1236.2,True,0,0.002,15.13,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",10269,0,0.0462,0,0
